# Simulation 39 (Up to date)
# 378 data points written for 54 variables.
#
# Time (s),Altitude (ft),Vertical velocity (m/s),Vertical acceleration (m/s²),Total velocity (m/s),Total acceleration (m/s²),Position East of launch (ft),Position North of launch (ft),Lateral distance (ft),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (°),Longitude (°),Gravitational acceleration (m/s²),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),CP location (in),CG location (in),Stability margin calibers (​),Mach number (​),Reynolds number (​),Thrust (N),Drag force (N),Drag coefficient (​),Axial drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Coriolis acceleration (m/s²),Reference length (in),Reference area (cm²),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar),Speed of sound (m/s),Simulation time step (s),Computation time (s)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
1.016,163.506,84.085,34.928,84.224,34.982,6.45,6.76e-4,6.45,0.006,4.838,1.939,28.61,-80.6,9.792,0.33,2.188e-4,-12.854,-0.058,433.388,39.051,0.014,2.016e-4,20.745,15.32,2.087,0.248,4.113e6,28.525,9.135,0.614,0.615,0.312,0.174,0.128,0.041,0.087,-3.357e-4,0,0,0,0,-5.78e-4,0.011,2.6,34.253,85.708,0.005,1.985,14.676,1007.405,340.193,0.022,0.085
1.027,166.48,84.44,33.038,84.579,33.058,6.621,6.982e-4,6.621,0.006,4.853,1.151,28.61,-80.6,9.792,0.451,5.432e-5,-8.311,-0.014,433.255,38.918,0.014,2.016e-4,20.722,15.316,2.079,0.249,4.13e6,27.761,9.217,0.615,0.615,0.312,0.174,0.128,0.057,0.119,4.972e-4,0,0,0,0,-2.396e-4,0.011,2.6,34.253,85.824,0.006,1.984,14.67,1007.299,340.189,0.011,0.085
1.035,168.751,84.701,31.909,84.841,31.919,6.752,7.152e-4,6.752,0.006,4.86,0.83,28.61,-80.6,9.792,0.493,4.101e-5,-4.071,-0.01,433.154,38.817,0.014,2.016e-4,20.715,15.313,2.077,0.25,4.142e6,27.318,9.276,0.615,0.615,0.312,0.174,0.128,0.062,0.129,-1.376e-4,0,0,0,0,-5.714e-5,0.011,2.6,34.253,85.875,0.007,1.983,14.666,1007.217,340.186,0.008,0.086
1.042,170.829,84.933,30.959,85.072,30.967,6.871,7.308e-4,6.871,0.006,4.866,0.712,28.61,-80.6,9.792,0.499,4.325e-5,-0.006,-0.022,433.062,38.725,0.014,2.016e-4,20.714,15.311,2.078,0.25,4.154e6,26.952,9.327,0.615,0.615,0.312,0.175,0.128,0.063,0.131,-2.504e-4,0,0,0,0,0,0.011,2.6,34.253,85.89,0.008,1.982,14.662,1007.143,340.184,0.007,0.086
1.05,172.873,85.153,30.052,85.293,30.062,6.988,7.464e-4,6.988,0.006,4.871,0.752,28.61,-80.6,9.792,0.475,4.472e-5,3.922,-0.003,432.972,38.635,0.014,2.016e-4,20.719,15.308,2.081,0.251,4.164e6,26.607,9.376,0.615,0.615,0.312,0.175,0.128,0.06,0.125,2.286e-4,0,0,0,0,5.248e-5,0.011,2.6,34.253,85.875,0.008,1.981,14.658,1007.07,340.181,0.007,0.087
1.057,175.014,85.377,29.123,85.516,29.14,7.11,7.63e-4,7.11,0.006,4.877,0.977,28.61,-80.6,9.792,0.415,5.575e-5,7.693,0.004,432.877,38.54,0.014,2.016e-4,20.73,15.306,2.086,0.252,4.175e6,26.257,9.424,0.615,0.615,0.312,0.175,0.128,0.052,0.109,-1.548e-4,0,0,0,0,2.008e-4,0.011,2.6,34.253,85.83,0.009,1.969,14.653,1006.994,340.179,0.008,0.087
1.066,177.469,85.623,28.093,85.763,28.128,7.25,7.823e-4,7.25,0.006,4.887,1.397,28.61,-80.6,9.792,0.316,6.407e-5,11.221,0.003,432.769,38.432,0.014,2.016e-4,20.75,15.303,2.095,0.253,4.186e6,25.873,9.477,0.615,0.615,0.312,0.175,0.128,0.04,0.082,1.853e-4,0,0,0,0,4.248e-4,0.011,2.6,34.253,85.746,0.009,1.955,14.648,1006.906,340.176,0.009,0.087
1.077,180.709,85.933,26.764,86.073,26.847,7.435,8.083e-4,7.435,0.006,4.907,2.121,28.61,-80.6,9.792,0.152,7.746e-5,14.22,-0.019,432.631,38.294,0.014,2.016e-4,20.782,15.299,2.109,0.253,4.201e6,25.384,9.545,0.615,0.615,0.312,0.175,0.128,0.019,0.039,-3.262e-4,0,0,0,0,6.774e-4,0.011,2.6,34.253,85.598,0.009,1.936,14.642,1006.79,340.172,0.012,0.088
1.095,185.589,86.343,23.454,86.485,23.67,7.714,8.488e-4,7.714,0.006,4.951,3.184,28.61,-80.6,9.792,0.109,1.063e-4,-14.369,-0.068,432.444,38.107,0.014,2.016e-4,20.791,15.294,2.114,0.255,4.221e6,24.079,9.637,0.616,0.616,0.312,0.175,0.128,0.014,0.03,-7.443e-5,0,0,0,0,-6.852e-4,0.011,2.6,34.253,85.342,0.008,1.908,14.632,1006.616,340.166,0.017,0.088
1.121,192.946,86.783,16.51,86.929,16.936,8.139,9.121e-4,8.139,0.006,5.04,3.773,28.61,-80.6,9.792,0.33,-7.197e-5,-6.679,0.023,432.193,37.855,0.014,2.015e-4,20.748,15.287,2.101,0.256,4.241e6,21.206,9.739,0.616,0.616,0.312,0.175,0.129,0.041,0.088,2.132e-4,0,0,0,0,-1.465e-4,0.011,2.6,34.253,85.053,0.003,1.929,14.618,1006.353,340.157,0.026,0.089
1.13,195.719,86.856,7.469,87.004,8.139,8.3,9.355e-4,8.3,0.006,5.071,3.234,28.61,-80.6,9.792,0.376,1.124e-5,-2.673,-0.008,432.114,37.777,0.014,2.015e-4,20.74,15.285,2.098,0.256,4.245e6,17.312,9.759,0.616,0.616,0.312,0.175,0.129,0.047,0.099,8.015e-5,0,0,0,0,-2.343e-5,0.011,2.6,34.253,85.007,7.117e-4,1.943,14.612,1006.253,340.154,0.01,0.089
1.14,198.327,86.877,2.388,87.027,3.612,8.453,9.571e-4,8.453,0.006,5.096,2.709,28.61,-80.6,9.792,0.358,1.722e-5,1.258,-0.006,432.051,37.714,0.014,2.015e-4,20.743,15.283,2.1,0.256,4.246e6,15.109,9.764,0.616,0.616,0.312,0.175,0.129,0.045,0.095,4.395e-4,0,0,0,0,5.187e-6,0.011,2.6,34.253,85.001,-8.637e-4,1.956,14.607,1006.16,340.151,0.009,0.09
1.149,201.069,86.854,-2.398,87.005,3.142,8.614,9.792e-4,8.614,0.007,5.117,2.031,28.61,-80.6,9.792,0.304,2.703e-5,4.982,-0.002,431.996,37.658,0.014,2.015e-4,20.754,15.282,2.105,0.256,4.245e6,13.016,9.757,0.616,0.616,0.312,0.175,0.129,0.038,0.08,-4.101e-4,0,0,0,0,8.138e-5,0.011,2.6,34.253,85.032,-0.002,1.969,14.602,1006.062,340.147,0.01,0.09
1.161,204.318,86.781,-6.439,86.933,6.565,8.806,0.001,8.806,0.007,5.134,1.283,28.61,-80.6,9.792,0.22,3.918e-5,8.418,0.007,431.941,37.603,0.014,2.015e-4,20.77,15.28,2.111,0.256,4.241e6,11.229,9.738,0.616,0.616,0.312,0.175,0.129,0.027,0.057,-3.906e-4,0,0,0,0,2.327e-4,0.011,2.6,34.253,85.11,-0.001,1.956,14.595,1005.946,340.144,0.011,0.09
1.176,208.83,86.601,-11.367,86.754,11.368,9.074,0.001,9.074,0.007,5.142,0.141,28.61,-80.6,9.792,0.062,-2.424e-5,10.945,-0.018,431.869,37.531,0.014,2.015e-4,20.8,15.278,2.124,0.255,4.232e6,9.021,9.693,0.616,0.616,0.312,0.175,0.128,0.008,0.016,-3.361e-4,0,0,0,0,3.95e-4,0.011,2.6,34.253,85.269,0.003,1.935,14.586,1005.785,340.138,0.016,0.091
1.2,215.577,86.226,-15.764,86.378,15.812,9.474,0.001,9.474,0.007,5.124,1.23,28.61,-80.6,9.792,0.166,-1.236e-4,-9.024,0.064,431.8,37.462,0.014,2.015e-4,20.779,15.276,2.117,0.254,4.213e6,6.993,9.605,0.615,0.616,0.312,0.175,0.128,0.021,0.044,-2.47e-4,0,0,0,0,-2.709e-4,0.011,2.6,34.253,85.523,0.011,1.902,14.573,1005.544,340.13,0.024,0.091
1.219,220.968,85.852,-19.391,86.003,19.487,9.794,0.001,9.794,0.007,5.089,1.93,28.61,-80.6,9.792,0.265,3.891e-5,-4.226,-0.007,431.744,37.407,0.014,2.015e-4,20.76,15.275,2.11,0.253,4.194e6,5.324,9.519,0.615,0.615,0.312,0.175,0.128,0.033,0.069,2.193e-4,0,0,0,0,-5.994e-5,0.011,2.6,34.253,85.653,0.014,1.845,14.562,1005.351,340.124,0.019,0.091
1.232,224.656,85.566,-21.692,85.715,21.794,10.013,0.001,10.013,0.007,5.061,2.106,28.61,-80.6,9.792,0.268,1.703e-5,-0.152,8.624e-4,431.723,37.386,0.014,2.015e-4,20.759,15.274,2.109,0.252,4.179e6,4.261,9.452,0.615,0.615,0.312,0.175,0.128,0.034,0.071,-3.512e-4,0,0,0,0,-7.801e-8,0.011,2.6,34.253,85.68,0.014,1.806,14.555,1005.219,340.119,0.013,0.092
1.246,228.386,85.258,-23.072,85.406,23.157,10.233,0.001,10.233,0.007,5.032,1.975,28.61,-80.6,9.792,0.216,3.68e-5,3.499,0.032,431.702,37.364,0.014,2.015e-4,20.768,15.273,2.113,0.251,4.164e6,3.598,9.379,0.615,0.615,0.312,0.175,0.128,0.027,0.057,4.35e-5,0,0,0,0,4.166e-5,0.011,2.6,34.253,85.656,0.011,1.767,14.548,1005.086,340.115,0.013,0.092
1.262,233.038,84.846,-24.617,84.994,24.674,10.508,0.001,10.508,0.007,5.001,1.671,28.61,-80.6,9.792,0.117,3.169e-5,6.52,6.865e-4,431.676,37.339,0.014,2.015e-4,20.787,15.273,2.121,0.25,4.143e6,2.847,9.283,0.615,0.615,0.312,0.175,0.128,0.015,0.031,3.935e-4,0,0,0,0,1.461e-4,0.011,2.6,34.253,85.568,0.007,1.747,14.538,1004.919,340.109,0.017,0.093
1.287,239.973,84.186,-26.294,84.333,26.317,10.916,0.001,10.916,0.007,4.965,1.089,28.61,-80.6,9.792,0.059,-3.206e-5,-6.978,0.062,431.662,37.324,0.014,2.015e-4,20.798,15.272,2.125,0.248,4.11e6,1.995,9.133,0.615,0.615,0.312,0.174,0.128,0.007,0.015,2.779e-5,0,0,0,0,-1.7e-4,0.011,2.6,34.253,85.384,0.003,1.732,14.525,1004.671,340.101,0.025,0.093
1.325,250.268,83.111,-28.38,83.257,28.398,11.525,0.001,11.525,0.007,4.93,1.028,28.61,-80.6,9.792,0.126,1.311e-4,-1.169,-0.079,431.64,37.303,0.014,2.015e-4,20.783,15.272,2.12,0.245,4.057e6,0.862,8.894,0.614,0.614,0.312,0.174,0.128,0.016,0.033,4.664e-4,0,0,0,0,-4.894e-6,0.011,2.6,34.253,85.213,0.003,1.789,14.504,1004.303,340.088,0.038,0.094
# Event BURNOUT occurred at t=1.33 seconds
1.33,251.643,82.959,-30.093,83.105,30.111,11.607,0.001,11.607,0.007,4.924,1.06,28.61,-80.6,9.792,0.156,5.267e-5,-0.589,-0.012,431.637,37.3,0.014,2.015e-4,20.777,15.272,2.117,0.245,4.05e6,0.091,8.861,0.614,0.614,0.312,0.174,0.128,0.019,0.041,-4.54e-4,0,0,0,0,-1.247e-6,0.011,2.6,34.253,85.208,0.002,1.802,14.501,1004.254,340.087,0.005,0.094
1.338,253.701,82.73,-30.18,82.876,30.202,11.729,0.001,11.729,0.007,4.916,1.157,28.61,-80.6,9.792,0.136,5.224e-5,0.569,-0.013,431.637,37.3,0.014,2.015e-4,20.781,15.272,2.119,0.244,4.038e6,0,8.811,0.614,0.614,0.312,0.174,0.128,0.017,0.035,-1.65e-5,0,0,0,0,1.169e-6,0.011,2.6,34.253,85.208,0.001,1.822,14.497,1004.181,340.084,0.008,0.094
1.349,256.778,82.389,-29.992,82.534,30.021,11.912,0.001,11.912,0.007,4.902,1.324,28.61,-80.6,9.792,0.091,5.649e-5,1.913,0.002,431.637,37.3,0.014,2.015e-4,20.789,15.272,2.122,0.243,4.022e6,0,8.736,0.614,0.614,0.312,0.174,0.128,0.011,0.024,-3.892e-4,0,0,0,0,1.334e-5,0.011,2.6,34.253,85.223,1.514e-4,1.851,14.491,1004.071,340.081,0.011,0.095
1.366,261.368,81.88,-29.717,82.025,29.755,12.185,0.001,12.185,0.007,4.878,1.514,28.61,-80.6,9.792,0.036,3.787e-5,3.005,-0.035,431.637,37.3,0.014,2.015e-4,20.799,15.272,2.126,0.242,3.996e6,0,8.624,0.614,0.614,0.312,0.174,0.128,0.004,0.01,-3.711e-4,0,0,0,0,3.331e-5,0.011,2.6,34.253,85.267,0.002,1.851,14.482,1003.907,340.075,0.017,0.095
1.392,268.201,81.126,-29.313,81.27,29.368,12.592,0.002,12.592,0.007,4.835,1.797,28.61,-80.6,9.792,0.049,7.688e-5,-2.638,-0.045,431.637,37.3,0.014,2.015e-4,20.795,15.272,2.125,0.239,3.959e6,0,8.46,0.613,0.613,0.312,0.173,0.127,0.006,0.013,2.452e-4,0,0,0,0,-2.614e-5,0.01,2.6,34.253,85.347,0.006,1.845,14.469,1003.662,340.067,0.026,0.095
1.43,278.334,80.013,-28.739,80.155,28.815,13.196,0.002,13.196,0.007,4.757,2.096,28.61,-80.6,9.792,0.14,1.534e-5,1.707,0.007,431.637,37.3,0.014,2.015e-4,20.776,15.272,2.117,0.236,3.904e6,0,8.224,0.613,0.613,0.312,0.173,0.127,0.017,0.037,-2.489e-4,0,0,0,0,1.125e-5,0.01,2.6,34.253,85.377,0.012,1.949,14.449,1003.3,340.055,0.038,0.096
1.454,284.757,79.312,-28.4,79.451,28.472,13.577,0.002,13.577,0.007,4.704,2.027,28.61,-80.6,9.792,0.126,5.542e-5,5.374,-0.039,431.637,37.3,0.014,2.015e-4,20.778,15.272,2.118,0.234,3.87e6,0,8.076,0.613,0.613,0.312,0.173,0.127,0.016,0.033,4.808e-4,0,0,0,0,1.135e-4,0.01,2.6,34.253,85.285,0.012,2.017,14.436,1003.071,340.047,0.025,0.096
1.487,293.186,78.393,-28.009,78.53,28.041,14.077,0.002,14.077,0.007,4.65,1.336,28.61,-80.6,9.792,0.065,1.247e-4,-5.74,-0.116,431.637,37.3,0.014,2.015e-4,20.789,15.272,2.122,0.231,3.824e6,0,7.883,0.612,0.612,0.312,0.173,0.127,0.008,0.017,3.432e-4,0,0,0,0,-1.325e-4,0.01,2.6,34.253,85.076,0.018,1.999,14.419,1002.769,340.037,0.033,0.097
1.536,305.646,77.038,-27.373,77.175,27.4,14.818,0.002,14.818,0.008,4.6,1.224,28.61,-80.6,9.792,0.09,1.176e-4,0.873,-0.027,431.637,37.3,0.014,2.015e-4,20.783,15.272,2.12,0.227,3.757e6,0,7.605,0.612,0.612,0.313,0.172,0.127,0.011,0.023,-1.322e-4,0,0,0,0,3.171e-6,0.01,2.6,34.253,84.933,0.012,2.013,14.394,1002.324,340.022,0.049,0.097
1.563,312.577,76.289,-27.014,76.425,27.045,15.233,0.002,15.233,0.008,4.569,1.289,28.61,-80.6,9.792,0.065,6.535e-5,3.189,-0.024,431.637,37.3,0.014,2.015e-4,20.787,15.272,2.121,0.225,3.72e6,0,7.453,0.611,0.611,0.313,0.172,0.127,0.008,0.017,-4.403e-5,0,0,0,0,4.317e-5,0.01,2.6,34.253,84.994,0.009,2.029,14.381,1002.076,340.014,0.028,0.097
1.605,322.848,75.184,-26.463,75.318,26.519,15.848,0.002,15.848,0.008,4.503,1.72,28.61,-80.6,9.792,0.083,4.876e-5,-1.554,-0.056,431.637,37.3,0.014,2.015e-4,20.782,15.272,2.119,0.222,3.666e6,0,7.233,0.611,0.611,0.313,0.172,0.126,0.01,0.022,-2.201e-4,0,0,0,0,-1.056e-5,0.01,2.6,34.253,85.131,0.009,2.039,14.36,1001.709,340.001,0.041,0.098
1.649,333.748,74.017,-25.939,74.149,25.986,16.5,0.002,16.5,0.008,4.426,1.569,28.61,-80.6,9.792,0.055,-1.82e-5,1.099,-0.033,431.637,37.3,0.014,2.015e-4,20.786,15.272,2.121,0.219,3.608e6,0,7.001,0.61,0.61,0.313,0.172,0.126,0.007,0.014,-4.806e-4,0,0,0,0,5.445e-6,0.009,2.6,34.253,85.141,0.018,1.964,14.339,1001.319,339.988,0.045,0.098
1.699,345.784,72.734,-25.38,72.864,25.418,17.22,0.002,17.22,0.008,4.349,1.389,28.61,-80.6,9.792,0.004,-7.902e-5,2.949,-0.247,431.637,37.3,0.014,2.015e-4,20.794,15.272,2.124,0.215,3.545e6,0,6.755,0.61,0.61,0.313,0.171,0.126,4.513e-4,6.596e-4,-1.211e-4,0,0,0,0,4.061e-5,0.009,2.6,34.253,84.999,0.019,2.036,14.315,1000.889,339.974,0.05,0.098
1.749,357.613,71.479,-24.845,71.607,24.875,17.928,0.003,17.928,0.009,4.286,1.203,28.61,-80.6,9.792,0.052,1.51e-5,-1.607,-0.062,431.637,37.3,0.014,2.015e-4,20.784,15.272,2.12,0.211,3.483e6,0,6.517,0.609,0.609,0.313,0.171,0.126,0.006,0.014,-4.244e-4,0,0,0,0,-1.249e-5,0.009,2.6,34.253,84.845,0.007,2.072,14.291,1000.466,339.96,0.05,0.099
1.799,369.237,70.249,-24.325,70.377,24.346,18.627,0.003,18.627,0.009,4.237,1.028,28.61,-80.6,9.792,0.094,3.475e-6,2.545,0.062,431.637,37.3,0.014,2.015e-4,20.774,15.272,2.116,0.207,3.422e6,0,6.287,0.609,0.609,0.313,0.171,0.126,0.012,0.025,2.4e-4,0,0,0,0,3.241e-5,0.009,2.6,34.253,84.853,0.008,1.926,14.268,1000.051,339.946,0.05,0.099
1.84,378.544,69.269,-23.871,69.395,23.917,19.189,0.003,19.189,0.009,4.187,1.487,28.61,-80.6,9.792,0.083,-1.067e-6,-2.366,0.013,431.637,37.3,0.014,2.015e-4,20.775,15.272,2.117,0.205,3.374e6,0,6.109,0.609,0.609,0.313,0.17,0.125,0.01,0.022,4.211e-4,0,0,0,0,-2.881e-5,0.009,2.6,34.253,84.988,0.025,2.01,14.25,999.718,339.934,0.041,0.099
1.89,389.81,68.088,-23.381,68.212,23.425,19.869,0.003,19.869,0.009,4.106,1.434,28.61,-80.6,9.792,0.082,-1.569e-5,2.195,-0.086,431.637,37.3,0.014,2.015e-4,20.774,15.272,2.116,0.201,3.315e6,0,5.897,0.608,0.608,0.313,0.17,0.125,0.01,0.022,-3.635e-4,0,0,0,0,2.567e-5,0.009,2.6,34.253,85.007,0.048,1.993,14.228,999.315,339.921,0.05,0.1
1.935,399.881,67.036,-22.967,67.158,23.001,20.476,0.003,20.476,0.01,4.043,1.244,28.61,-80.6,9.792,0.017,1.226e-4,3.598,-0.328,431.637,37.3,0.014,2.015e-4,20.786,15.272,2.121,0.198,3.264e6,0,5.712,0.608,0.608,0.313,0.17,0.125,0.002,0.005,-3.402e-4,0,0,0,0,7.115e-5,0.009,2.6,34.253,84.847,0.031,2.021,14.208,998.955,339.909,0.045,0.113
1.985,410.784,65.898,-22.529,66.019,22.554,21.135,0.004,21.135,0.01,3.988,1.063,28.61,-80.6,9.792,0.051,6.426e-5,-2.709,-0.042,431.637,37.3,0.014,2.015e-4,20.778,15.272,2.118,0.195,3.208e6,0,5.516,0.607,0.607,0.313,0.17,0.125,0.006,0.014,4.859e-4,0,0,0,0,-4.172e-5,0.008,2.6,34.253,84.652,-0.005,2.102,14.186,998.565,339.896,0.05,0.113
2.035,421.502,64.782,-22.108,64.902,22.124,21.785,0.004,21.785,0.011,3.941,0.844,28.61,-80.6,9.792,0.13,5.743e-5,-0.106,0.015,431.637,37.3,0.014,2.015e-4,20.761,15.272,2.111,0.191,3.153e6,0,5.326,0.607,0.607,0.313,0.169,0.125,0.016,0.034,-3.339e-4,0,0,0,0,-6.637e-8,0.008,2.6,34.253,84.575,-0.007,2.038,14.165,998.182,339.883,0.05,0.113
2.077,430.212,63.877,-21.728,63.996,21.759,22.317,0.004,22.317,0.011,3.904,1.158,28.61,-80.6,9.792,0.014,2.237e-5,-2.826,0.053,431.637,37.3,0.014,2.015e-4,20.783,15.272,2.12,0.189,3.109e6,0,5.176,0.607,0.607,0.313,0.169,0.125,0.002,0.004,-4.541e-5,0,0,0,0,-4.831e-5,0.008,2.6,34.253,84.658,0.019,2.079,14.148,997.871,339.872,0.041,0.114
2.127,440.602,62.802,-21.304,62.919,21.345,22.951,0.004,22.951,0.011,3.835,1.318,28.61,-80.6,9.792,0.1,1.17e-4,1.665,-0.05,431.637,37.3,0.014,2.015e-4,20.765,15.272,2.113,0.186,3.056e6,0,5,0.606,0.606,0.313,0.169,0.124,0.012,0.026,4.573e-4,0,0,0,0,1.733e-5,0.008,2.6,34.253,84.723,0.041,2.126,14.127,997.499,339.86,0.05,0.114
2.173,450.012,61.83,-20.942,61.945,20.983,23.526,0.005,23.526,0.011,3.774,1.306,28.61,-80.6,9.792,0.107,-1.603e-5,2.898,0.008,431.637,37.3,0.014,2.015e-4,20.763,15.272,2.112,0.183,3.008e6,0,4.844,0.606,0.606,0.313,0.169,0.124,0.013,0.028,-2.758e-4,0,0,0,0,5.419e-5,0.008,2.6,34.253,84.614,0.037,2.172,14.108,997.163,339.849,0.046,0.115
2.223,460.069,60.792,-20.595,60.905,20.617,24.14,0.005,24.14,0.012,3.714,0.954,28.61,-80.6,9.792,0.055,1.642e-4,-5.374,-0.099,431.637,37.3,0.014,2.015e-4,20.772,15.272,2.116,0.18,2.957e6,0,4.68,0.606,0.606,0.313,0.169,0.124,0.007,0.015,4.776e-4,0,0,0,0,-1.927e-4,0.008,2.6,34.253,84.365,0.009,2.233,14.089,996.803,339.837,0.05,0.115
2.273,469.958,59.77,-20.246,59.883,20.26,24.746,0.005,24.746,0.012,3.676,0.749,28.61,-80.6,9.792,0.147,3.383e-5,-1.131,-0.041,431.637,37.3,0.014,2.015e-4,20.753,15.272,2.108,0.177,2.907e6,0,4.522,0.606,0.606,0.313,0.168,0.124,0.018,0.038,-8.319e-5,0,0,0,0,-8.823e-6,0.008,2.6,34.253,84.181,-0.017,2.222,14.069,996.45,339.825,0.05,0.116
2.313,477.787,58.962,-19.953,59.075,19.969,25.229,0.005,25.229,0.012,3.647,0.808,28.61,-80.6,9.792,0.111,-1.932e-5,1.528,-0.025,431.637,37.3,0.014,2.015e-4,20.76,15.272,2.111,0.174,2.868e6,0,4.398,0.605,0.605,0.313,0.168,0.124,0.014,0.029,-2.09e-4,0,0,0,0,1.656e-5,0.008,2.6,34.253,84.195,-0.017,2.229,14.053,996.17,339.815,0.04,0.117
2.363,487.378,57.974,-19.581,58.086,19.609,25.823,0.006,25.823,0.013,3.6,1.049,28.61,-80.6,9.792,0.034,-2.478e-5,-2.322,-0.07,431.637,37.3,0.014,2.015e-4,20.774,15.272,2.116,0.171,2.819e6,0,4.249,0.605,0.605,0.313,0.168,0.124,0.004,0.009,-3.185e-4,0,0,0,0,-3.953e-5,0.007,2.6,34.253,84.329,0.011,2.201,14.034,995.827,339.804,0.05,0.117
2.413,496.808,57.004,-19.233,57.114,19.27,26.409,0.006,26.409,0.013,3.542,1.182,28.61,-80.6,9.792,0.127,-4.373e-5,-0.411,0.011,431.637,37.3,0.014,2.015e-4,20.755,15.272,2.109,0.169,2.771e6,0,4.105,0.605,0.605,0.313,0.168,0.124,0.016,0.033,1.851e-4,0,0,0,0,-1.282e-6,0.007,2.6,34.253,84.417,0.037,2.176,14.016,995.49,339.792,0.05,0.118
2.463,506.081,56.05,-18.921,56.159,18.951,26.985,0.006,26.985,0.013,3.482,1.072,28.61,-80.6,9.792,0.083,-8.402e-5,3,-0.024,431.637,37.3,0.014,2.015e-4,20.763,15.272,2.112,0.166,2.725e6,0,3.966,0.604,0.604,0.313,0.168,0.124,0.01,0.022,-6.007e-5,0,0,0,0,7.059e-5,0.007,2.6,34.253,84.341,0.028,2.17,13.997,995.159,339.781,0.05,0.118
2.513,515.198,55.112,-18.631,55.219,18.65,27.553,0.006,27.553,0.013,3.437,0.844,28.61,-80.6,9.792,0.035,2.396e-5,-2.365,-0.015,431.637,37.3,0.014,2.015e-4,20.771,15.272,2.115,0.163,2.679e6,0,3.832,0.604,0.604,0.313,0.167,0.123,0.004,0.009,-3.154e-4,0,0,0,0,-4.538e-5,0.007,2.6,34.253,84.172,0.004,2.135,13.979,994.833,339.77,0.05,0.119
2.563,524.163,54.188,-18.334,54.294,18.353,28.113,0.007,28.113,0.013,3.394,0.832,28.61,-80.6,9.792,0.038,-4.151e-5,-2.932,0.167,431.637,37.3,0.014,2.015e-4,20.77,15.272,2.115,0.16,2.634e6,0,3.704,0.604,0.604,0.313,0.167,0.123,0.005,0.01,-2.069e-4,0,0,0,0,-7.211e-5,0.007,2.6,34.253,84.035,-0.008,2.236,13.962,994.512,339.76,0.05,0.119
2.613,532.977,53.278,-18.054,53.383,18.068,28.666,0.007,28.666,0.014,3.357,0.72,28.61,-80.6,9.792,0.094,2.713e-5,-0.629,0.048,431.637,37.3,0.014,2.015e-4,20.758,15.272,2.11,0.158,2.589e6,0,3.579,0.604,0.604,0.313,0.167,0.123,0.012,0.025,-2.459e-5,0,0,0,0,-3.427e-6,0.007,2.6,34.253,83.949,0.006,2.189,13.944,994.197,339.749,0.05,0.119
2.663,541.643,52.382,-17.769,52.487,17.784,29.214,0.007,29.214,0.014,3.321,0.732,28.61,-80.6,9.792,0.072,6.441e-6,0.862,0.017,431.637,37.3,0.014,2.015e-4,20.762,15.272,2.112,0.155,2.545e6,0,3.457,0.603,0.603,0.313,0.167,0.123,0.009,0.018,8.731e-5,0,0,0,0,6.665e-6,0.007,2.6,34.253,83.966,0.023,2.148,13.927,993.887,339.739,0.05,0.12
2.713,550.164,51.501,-17.485,51.605,17.505,29.756,0.007,29.756,0.014,3.284,0.825,28.61,-80.6,9.792,0.012,-2.413e-5,-2.284,0.303,431.637,37.3,0.014,2.015e-4,20.773,15.272,2.116,0.152,2.502e6,0,3.339,0.603,0.603,0.313,0.167,0.123,0.001,0.003,2.383e-4,0,0,0,0,-4.846e-5,0.007,2.6,34.253,84.06,0.024,2.083,13.91,993.583,339.728,0.05,0.12
2.763,558.54,50.634,-17.204,50.737,17.234,30.291,0.007,30.291,0.014,3.236,1.025,28.61,-80.6,9.792,0.165,2.701e-5,0.074,-0.011,431.637,37.3,0.014,2.015e-4,20.742,15.272,2.104,0.15,2.46e6,0,3.227,0.603,0.603,0.313,0.167,0.123,0.02,0.043,-3.588e-4,0,0,0,0,5.236e-8,0.006,2.6,34.253,84.132,0.015,2.134,13.893,993.283,339.718,0.05,0.12
2.813,566.776,49.78,-16.956,49.882,16.983,30.817,0.008,30.817,0.014,3.183,0.955,28.61,-80.6,9.792,0.134,3.766e-5,3.243,-0.029,431.637,37.3,0.014,2.015e-4,20.748,15.272,2.106,0.147,2.418e6,0,3.118,0.603,0.603,0.313,0.166,0.123,0.017,0.035,-1.065e-4,0,0,0,0,1.045e-4,0.006,2.6,34.253,84.043,0.011,2.138,13.877,992.989,339.708,0.05,0.121
